,EmailID,Password
0,girish@gmail.com,thamanyas@123
1,adityaa@gmail.com,thamanyas@123
2,anurag@gmail.com,thamanyas@123
3,shreya@gmail.com,thamanyas@123
4,sairam@gmail.com,thamanyas@123
5,vaishak@gmail.com,thamanyas@123
6,sanjay@gmail.com,thamanyas@123
7,rajesh@gmail.com,thamanyas@123
8,srivats@gmail.com,thamanyas@123
9,annamalai@gmail.com,thamanyas@123
10,sivaji@gmail.com,thamanyas@123
11,rajni@gmail.com,thamanyas@123
12,kamal@gmail.com,thamanyas@123
13,jaswanth@gmail.com,thamanyas@123
14,niranjan@gmail.com,thamanyas@123
15,advaith@gmail.com,thamanyas@123
16,sudha@gmail.com,thamanyas@123
17,muthu@gmail.com,thamanyas@123
18,gopal@gmail.com,thamanyas@123
19,aarusaami@gmail.com,thamanyas@123
